receipt_id,created_at,network,signature,status,attempt_type,rule_triggered,policy,vault,mint,destination,destination_label,requested_amount,actual_inner_transfer_amount,vault_balance_before,vault_balance_after,vault_delta,inner_token_transfers,guard_error,receipt_hash
"devnet:382Mj4AgfWcMcmzaMZebrbmbBBGTDezghXWssJnFBy6y33ZkpT48uFHs7toerSFmPmGuAVtefM1CWvG2miDYXvAo","2026-05-09T03:17:16.787Z","devnet","382Mj4AgfWcMcmzaMZebrbmbBBGTDezghXWssJnFBy6y33ZkpT48uFHs7toerSFmPmGuAVtefM1CWvG2miDYXvAo","allowed","allowed_spend","all_clear","vCeG5UbD8BwpgDCtEetj5dp2haR1Vd6cDPFBhCvQ8yp","GY9NCwVb5e4wRhikpLmSQELMr5ynjdFdDD2vdYvMwBMb","4eC4i6pmM9G6R2qSGCaNcot6KTv6xx1FcAn5GE7Px7qK","ETdQsQEH4MsJWfku4s7QjWbpQW31SzRqWVFwDwoK9X3G","Allowed DemoUSD merchant","5000000","5000000","50000000","45000000","-5000000","1","","ad7498dee090fde52fa70502f0650672844558feaa51f03de35b152f821eafc1"
"devnet:wTo4fANWAG6P3azWJ4W3MQVYn5rYpZp6s3ZijsKsN4xGP2ACCGieZgtYKXZ6wiFNW3WTek9Paeco9bozGye95p3","2026-05-09T03:17:20.800Z","devnet","wTo4fANWAG6P3azWJ4W3MQVYn5rYpZp6s3ZijsKsN4xGP2ACCGieZgtYKXZ6wiFNW3WTek9Paeco9bozGye95p3","raw_wallet_drained","raw_wallet_drain","rawWalletAuthority","","","4eC4i6pmM9G6R2qSGCaNcot6KTv6xx1FcAn5GE7Px7qK","BYZ9wZ7pt92bhwqfZ4umiA5TkEGy2FAcmB8QfmRXXMC9","Red-team attacker token account","50000000","0","50000000","0","-50000000","0","","da0b2b97da21e3212b90cd1cf47e65c4875a9035447e056045e8d261fba9679b"
"devnet:5yWAEdtjihJjGWk9phXLvAG831r9yqvT7qrPgbmaFXoS5whsFSLLuuLLFGnUmKpAE22RWvFxPk3NDn1oCqfEqEf8","2026-05-09T03:17:24.878Z","devnet","5yWAEdtjihJjGWk9phXLvAG831r9yqvT7qrPgbmaFXoS5whsFSLLuuLLFGnUmKpAE22RWvFxPk3NDn1oCqfEqEf8","blocked","blocked_spend","perTxCap","vCeG5UbD8BwpgDCtEetj5dp2haR1Vd6cDPFBhCvQ8yp","GY9NCwVb5e4wRhikpLmSQELMr5ynjdFdDD2vdYvMwBMb","4eC4i6pmM9G6R2qSGCaNcot6KTv6xx1FcAn5GE7Px7qK","ETdQsQEH4MsJWfku4s7QjWbpQW31SzRqWVFwDwoK9X3G","Over-cap DemoUSD merchant attempt","50000000","0","45000000","45000000","0","0","Program log: AnchorError thrown in programs/vajra/src/instructions/execute_guarded_transfer.rs:80. Error Code: PerTxCapExceeded. Error Number: 6007. Error Message: Amount exceeds per-transaction cap.","86061c55fd156b30bb9f7dcb54f5803e4633a16ae4c025145fe03e6e80cfb8ec"
