timestamp,policy,agent,vault,mint,attemptType,amount,destination,result,ruleTriggered,signature,explorerUrl,vaultBalanceBefore,vaultBalanceAfter,vaultDelta,avoidedLoss,errorSummary
"2026-05-05T18:27:33.732Z","87KADML8rmghnPv7aZk2ZbQTGzX3o9p9nAk4ABQXMFHV","GDVVFih63F37uqnRFeBgWtQPAgfrGD2Hi1V6eu7MhcTi","7xzCxYSr6eveXWmvKvMN2gj7m7gPbVYuGjhdBkQnY3M","4eC4i6pmM9G6R2qSGCaNcot6KTv6xx1FcAn5GE7Px7qK","good-spend","5000000","ETdQsQEH4MsJWfku4s7QjWbpQW31SzRqWVFwDwoK9X3G","allowed","all_clear","24SD6CdpkJqJj5EHW2cMULVoXU5qwURrgohidQ25jhLPLYHSgANCnxbaAdZhPzREsLJni7g4bu6XR9tNsuEAfREL","https://explorer.solana.com/tx/24SD6CdpkJqJj5EHW2cMULVoXU5qwURrgohidQ25jhLPLYHSgANCnxbaAdZhPzREsLJni7g4bu6XR9tNsuEAfREL?cluster=devnet","100000000","95000000","-5000000","0",""
"2026-05-05T18:27:37.800Z","87KADML8rmghnPv7aZk2ZbQTGzX3o9p9nAk4ABQXMFHV","GDVVFih63F37uqnRFeBgWtQPAgfrGD2Hi1V6eu7MhcTi","7xzCxYSr6eveXWmvKvMN2gj7m7gPbVYuGjhdBkQnY3M","4eC4i6pmM9G6R2qSGCaNcot6KTv6xx1FcAn5GE7Px7qK","velocity-attack","1000000","ETdQsQEH4MsJWfku4s7QjWbpQW31SzRqWVFwDwoK9X3G","blocked","velocity","34L5qsBYopSPP6jkxiwmJjWPX1AhBJvxqmcDMNH7Mhu1HVqxGWHLHpT5nLDmFQB9h5hhfqPDVkwBQ4cn7nHW6dEu","https://explorer.solana.com/tx/34L5qsBYopSPP6jkxiwmJjWPX1AhBJvxqmcDMNH7Mhu1HVqxGWHLHpT5nLDmFQB9h5hhfqPDVkwBQ4cn7nHW6dEu?cluster=devnet","95000000","95000000","0","1000000","{\"InstructionError\":[0,{\"Custom\":6017}]}"
"2026-05-05T18:28:06.824Z","87KADML8rmghnPv7aZk2ZbQTGzX3o9p9nAk4ABQXMFHV","GDVVFih63F37uqnRFeBgWtQPAgfrGD2Hi1V6eu7MhcTi","7xzCxYSr6eveXWmvKvMN2gj7m7gPbVYuGjhdBkQnY3M","4eC4i6pmM9G6R2qSGCaNcot6KTv6xx1FcAn5GE7Px7qK","over-cap","50000000","ETdQsQEH4MsJWfku4s7QjWbpQW31SzRqWVFwDwoK9X3G","blocked","perTxCap","2HibzDswnHVUEsgTB6FXotNZXdwMtGxv1deUPy9WABgqb1guxgKCcG1jrqnN96cWBJwQoZuBjJmptDboPnrBrfej","https://explorer.solana.com/tx/2HibzDswnHVUEsgTB6FXotNZXdwMtGxv1deUPy9WABgqb1guxgKCcG1jrqnN96cWBJwQoZuBjJmptDboPnrBrfej?cluster=devnet","95000000","95000000","0","50000000","{\"InstructionError\":[0,{\"Custom\":6007}]}"
"2026-05-05T18:28:35.948Z","87KADML8rmghnPv7aZk2ZbQTGzX3o9p9nAk4ABQXMFHV","GDVVFih63F37uqnRFeBgWtQPAgfrGD2Hi1V6eu7MhcTi","7xzCxYSr6eveXWmvKvMN2gj7m7gPbVYuGjhdBkQnY3M","4eC4i6pmM9G6R2qSGCaNcot6KTv6xx1FcAn5GE7Px7qK","wrong-destination","5000000","218XkAKL2KfNkpfWUe4uEKYdXrRQAyDdUYdAZcWs9r4D","blocked","destination","5YipDqDgJSQxc81B6tunWahwu9EnZRcsadhh9cVUAN4oyxjTCFBXGAb6hYZWmq1KCS6uKWVXf9LqVY8wDLsizWa1","https://explorer.solana.com/tx/5YipDqDgJSQxc81B6tunWahwu9EnZRcsadhh9cVUAN4oyxjTCFBXGAb6hYZWmq1KCS6uKWVXf9LqVY8wDLsizWa1?cluster=devnet","95000000","95000000","0","5000000","{\"InstructionError\":[0,{\"Custom\":6009}]}"
"2026-05-05T18:29:05.333Z","87KADML8rmghnPv7aZk2ZbQTGzX3o9p9nAk4ABQXMFHV","GDVVFih63F37uqnRFeBgWtQPAgfrGD2Hi1V6eu7MhcTi","7xzCxYSr6eveXWmvKvMN2gj7m7gPbVYuGjhdBkQnY3M","4eC4i6pmM9G6R2qSGCaNcot6KTv6xx1FcAn5GE7Px7qK","period-fill-1","10000000","ETdQsQEH4MsJWfku4s7QjWbpQW31SzRqWVFwDwoK9X3G","allowed","all_clear","c5SF5twygHjvspYaYDGFMr9WeSm5AZ3LUvZXmmrjqcxYbu3pWeQS6v4RkMN8ENWsxKyBnD2qUX6VR9xCeXqF3Y9","https://explorer.solana.com/tx/c5SF5twygHjvspYaYDGFMr9WeSm5AZ3LUvZXmmrjqcxYbu3pWeQS6v4RkMN8ENWsxKyBnD2qUX6VR9xCeXqF3Y9?cluster=devnet","95000000","85000000","-10000000","0",""
"2026-05-05T18:29:34.715Z","87KADML8rmghnPv7aZk2ZbQTGzX3o9p9nAk4ABQXMFHV","GDVVFih63F37uqnRFeBgWtQPAgfrGD2Hi1V6eu7MhcTi","7xzCxYSr6eveXWmvKvMN2gj7m7gPbVYuGjhdBkQnY3M","4eC4i6pmM9G6R2qSGCaNcot6KTv6xx1FcAn5GE7Px7qK","period-fill-2","10000000","ETdQsQEH4MsJWfku4s7QjWbpQW31SzRqWVFwDwoK9X3G","allowed","all_clear","4ebWiSLL29bcjfSyJNt4pgEKepA2cyYHSHZUw6n55d9Xtaga8z9saM48kE5m1agrgs8w4p7WzXU9thrpGTpyNzuF","https://explorer.solana.com/tx/4ebWiSLL29bcjfSyJNt4pgEKepA2cyYHSHZUw6n55d9Xtaga8z9saM48kE5m1agrgs8w4p7WzXU9thrpGTpyNzuF?cluster=devnet","85000000","75000000","-10000000","0",""
"2026-05-05T18:30:05.557Z","87KADML8rmghnPv7aZk2ZbQTGzX3o9p9nAk4ABQXMFHV","GDVVFih63F37uqnRFeBgWtQPAgfrGD2Hi1V6eu7MhcTi","7xzCxYSr6eveXWmvKvMN2gj7m7gPbVYuGjhdBkQnY3M","4eC4i6pmM9G6R2qSGCaNcot6KTv6xx1FcAn5GE7Px7qK","period-budget-attack","1000000","ETdQsQEH4MsJWfku4s7QjWbpQW31SzRqWVFwDwoK9X3G","blocked","periodBudget","3o8XE3mo1oRToBZRmR1911M25VMETdR2iUA53zQSqhsjmeRfcB3XFNeD3z2D7Ai5fShfAgvmBh29n17CB1DejwvG","https://explorer.solana.com/tx/3o8XE3mo1oRToBZRmR1911M25VMETdR2iUA53zQSqhsjmeRfcB3XFNeD3z2D7Ai5fShfAgvmBh29n17CB1DejwvG?cluster=devnet","75000000","75000000","0","1000000","{\"InstructionError\":[0,{\"Custom\":6016}]}"
"2026-05-05T18:30:07.890Z","87KADML8rmghnPv7aZk2ZbQTGzX3o9p9nAk4ABQXMFHV","GDVVFih63F37uqnRFeBgWtQPAgfrGD2Hi1V6eu7MhcTi","7xzCxYSr6eveXWmvKvMN2gj7m7gPbVYuGjhdBkQnY3M","4eC4i6pmM9G6R2qSGCaNcot6KTv6xx1FcAn5GE7Px7qK","withdraw","5000000","A1wYbodBy9ojiyehwZ35hgXAufbc5uvsaaEm4ut1qsyK","allowed","ownerRecovery","53Ux23dXJfPSLv7D5wCCsuescGwRHzAFmLy3MNJxDTJCmNLDCHFWgkAY3fSPc41MpLD6dogp5Matp5eqwQ79ccxk","https://explorer.solana.com/tx/53Ux23dXJfPSLv7D5wCCsuescGwRHzAFmLy3MNJxDTJCmNLDCHFWgkAY3fSPc41MpLD6dogp5Matp5eqwQ79ccxk?cluster=devnet","75000000","70000000","-5000000","0",""
"2026-05-05T18:30:13.189Z","87KADML8rmghnPv7aZk2ZbQTGzX3o9p9nAk4ABQXMFHV","GDVVFih63F37uqnRFeBgWtQPAgfrGD2Hi1V6eu7MhcTi","7xzCxYSr6eveXWmvKvMN2gj7m7gPbVYuGjhdBkQnY3M","4eC4i6pmM9G6R2qSGCaNcot6KTv6xx1FcAn5GE7Px7qK","revoked-policy","1000000","ETdQsQEH4MsJWfku4s7QjWbpQW31SzRqWVFwDwoK9X3G","blocked","revoked","4pU7eUdKujVZCxgrpgV5FSFpmURwnYhD18dPKfXa3JjPJwEFYkTxHQgpeuD6MPoBpzWF7NgaF4zHTGfmtDBzhcj3","https://explorer.solana.com/tx/4pU7eUdKujVZCxgrpgV5FSFpmURwnYhD18dPKfXa3JjPJwEFYkTxHQgpeuD6MPoBpzWF7NgaF4zHTGfmtDBzhcj3?cluster=devnet","70000000","70000000","0","1000000","{\"InstructionError\":[0,{\"Custom\":6003}]}"
"2026-05-05T18:30:17.228Z","87KADML8rmghnPv7aZk2ZbQTGzX3o9p9nAk4ABQXMFHV","GDVVFih63F37uqnRFeBgWtQPAgfrGD2Hi1V6eu7MhcTi","7xzCxYSr6eveXWmvKvMN2gj7m7gPbVYuGjhdBkQnY3M","4eC4i6pmM9G6R2qSGCaNcot6KTv6xx1FcAn5GE7Px7qK","raw-drain","50000000","ETdQsQEH4MsJWfku4s7QjWbpQW31SzRqWVFwDwoK9X3G","blocked","vaultAuthority","4uvgEujWko2rG9arGBWXxPR67zCy6tw339VAwLXZHWkDHfRHzZ4NWQ1qmUmFWZeiRnPdMHDTzBCv4AJvshtQskyo","https://explorer.solana.com/tx/4uvgEujWko2rG9arGBWXxPR67zCy6tw339VAwLXZHWkDHfRHzZ4NWQ1qmUmFWZeiRnPdMHDTzBCv4AJvshtQskyo?cluster=devnet","70000000","70000000","0","50000000","{\"InstructionError\":[0,{\"Custom\":4}]}"
